localidade,valor,unidade
Rondônia,13.259,Mil Reais
Acre,2.558,Mil Reais
Amazonas,70.306,Mil Reais
Roraima,2.768,Mil Reais
Pará,150.024,Mil Reais
Amapá,2.758,Mil Reais
Tocantins,415.996,Mil Reais
Maranhão,488.211,Mil Reais
Piauí,218.467,Mil Reais
Ceará,115.600,Mil Reais
Rio Grande do Norte,705.249,Mil Reais
Paraíba,1.143.029,Mil Reais
Pernambuco,2.752.683,Mil Reais
Alagoas,2.253.674,Mil Reais
Sergipe,253.060,Mil Reais
Bahia,776.758,Mil Reais
Minas Gerais,11.462.008,Mil Reais
Espírito Santo,243.033,Mil Reais
Rio de Janeiro,280.071,Mil Reais
São Paulo,56.729.446,Mil Reais
Paraná,4.672.937,Mil Reais
Santa Catarina,81.718,Mil Reais
Rio Grande do Sul,103.559,Mil Reais
Mato Grosso do Sul,6.372.629,Mil Reais
Mato Grosso,2.073.107,Mil Reais
Goiás,10.584.857,Mil Reais
Distrito Federal,1.133,Mil Reais
Fonte: PAM
,,